,Rep,Line,BL,Chamber,Stress,Plant,GN
442,3,Vida,S,14,N,4,34
443,3,Hiline,C,12,Y,4,126
444,3,Hiline,D,12,Y,4,158
445,3,Hiline,F,12,Y,4,74
446,3,Hiline,H,12,Y,4,142
447,3,MTH,C,14,Y,4,74
448,3,Vida,C,14,Y,4,301
449,3,MTH,D,14,Y,4,85
450,3,Vida,D,14,Y,4,178
451,3,MTH,F,14,Y,4,69
452,3,Vida,F,14,Y,4,190
453,3,MTH,H,14,Y,4,37
454,3,Vida,H,14,Y,4,48
455,3,MTH,S,14,Y,4,112
456,3,Vida,S,14,Y,4,183
457,3,Hiline,C,12,N,5,77
458,3,Hiline,D,12,N,5,104
459,3,Hiline,F,12,N,5,258
460,3,Hiline,H,12,N,5,67
461,3,Hiline,S,12,N,5,287
462,3,Vida,C,14,N,5,100
463,3,MTH,D,14,N,5,179
464,3,MTH,F,14,N,5,183
465,3,Vida,F,14,N,5,173
466,3,MTH,H,14,N,5,88
467,3,Vida,H,14,N,5,185
468,3,MTH,S,14,N,5,41
469,3,Vida,S,14,N,5,416
470,3,Hiline,C,12,Y,5,195
471,3,Hiline,F,12,Y,5,51
472,3,Hiline,S,12,Y,5,149
473,3,MTH,C,14,Y,5,134
474,3,Vida,C,14,Y,5,41
475,3,MTH,D,14,Y,5,106
476,3,Vida,D,14,Y,5,148
477,3,MTH,F,14,Y,5,50
478,3,Vida,F,14,Y,5,181
479,3,MTH,H,14,Y,5,188
480,3,Vida,H,14,Y,5,60
481,3,MTH,S,14,Y,5,156
482,3,Vida,S,14,Y,5,134
