"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"160",3,"Hiline","C",12,"N",2,2,6.5
"161",3,"Hiline","D",12,"N",2,2,5.5
"162",3,"Hiline","F",12,"N",2,2,5.5
"163",3,"Hiline","H",12,"N",2,2,5.4
"164",3,"Hiline","S",12,"N",2,2,NA
"165",3,"MTH","C",14,"N",2,2,6.5
"166",3,"MTH","D",14,"N",2,2,7.5
"167",3,"Vida","D",14,"N",2,2,8.5
"168",3,"MTH","F",14,"N",2,2,9
"169",3,"Vida","F",14,"N",2,2,NA
"170",3,"MTH","H",14,"N",2,2,8.6
"171",3,"Vida","H",14,"N",2,2,6.4
"172",3,"MTH","S",14,"N",2,2,7.8
"173",3,"Hiline","D",12,"Y",2,2,6.2
"174",3,"Hiline","F",12,"Y",2,2,4.8
"175",3,"Hiline","H",12,"Y",2,2,6.5
"176",3,"Hiline","S",12,"Y",2,2,6.7
"177",3,"MTH","C",14,"Y",2,2,8.7
"178",3,"Vida","C",14,"Y",2,2,6.5
"179",3,"MTH","D",14,"Y",2,2,8
"180",3,"Vida","D",14,"Y",2,2,8
"181",3,"MTH","F",14,"Y",2,2,NA
"182",3,"Vida","H",14,"Y",2,2,4.9
"183",3,"MTH","S",14,"Y",2,2,9.5
"184",3,"Hiline","C",12,"N",3,2,5.2
"185",3,"Hiline","D",12,"N",3,2,8
"186",3,"Hiline","H",12,"N",3,2,7.6
"187",3,"Hiline","S",12,"N",3,2,NA
"188",3,"MTH","C",14,"N",3,2,7
"189",3,"Vida","C",14,"N",3,2,6.4
"190",3,"Vida","D",14,"N",3,2,8.2
"191",3,"MTH","H",14,"N",3,2,8
"192",3,"Vida","H",14,"N",3,2,6.2
"193",3,"MTH","S",14,"N",3,2,8
"194",3,"Hiline","C",12,"Y",3,2,6.8
"195",3,"Hiline","D",12,"Y",3,2,6
"196",3,"Hiline","F",12,"Y",3,2,4.5
"197",3,"Hiline","H",12,"Y",3,2,5.5
"198",3,"Hiline","S",12,"Y",3,2,5.1
"199",3,"MTH","C",14,"Y",3,2,5.4
"200",3,"Vida","C",14,"Y",3,2,4.8
"201",3,"MTH","D",14,"Y",3,2,6
"202",3,"Vida","D",14,"Y",3,2,3.8
"203",3,"MTH","F",14,"Y",3,2,NA
"204",3,"MTH","H",14,"Y",3,2,9.2
"205",3,"Vida","H",14,"Y",3,2,4
"206",3,"MTH","S",14,"Y",3,2,6.5
"207",3,"Vida","S",14,"Y",3,2,7
"208",3,"Hiline","C",12,"N",4,2,7
"209",3,"Hiline","D",12,"N",4,2,6.7
"210",3,"Hiline","F",12,"N",4,2,6.4
"211",3,"Hiline","H",12,"N",4,2,5.3
"212",3,"Hiline","S",12,"N",4,2,5.5
"213",3,"MTH","C",14,"N",4,2,9
"214",3,"Vida","C",14,"N",4,2,6.3
"215",3,"MTH","D",14,"N",4,2,7.6
"216",3,"Vida","D",14,"N",4,2,7
"217",3,"MTH","F",14,"N",4,2,9.5
"218",3,"Vida","F",14,"N",4,2,6.1
"219",3,"MTH","H",14,"N",4,2,8.5
"220",3,"Vida","H",14,"N",4,2,7.1
"221",3,"MTH","S",14,"N",4,2,7
"222",3,"Vida","S",14,"N",4,2,6
"223",3,"Hiline","C",12,"Y",4,2,7
"224",3,"Hiline","D",12,"Y",4,2,8
"225",3,"Hiline","F",12,"Y",4,2,5.5
"226",3,"Hiline","H",12,"Y",4,2,3
"227",3,"MTH","C",14,"Y",4,2,9
"228",3,"Vida","C",14,"Y",4,2,4.6
"229",3,"MTH","D",14,"Y",4,2,NA
"230",3,"Vida","D",14,"Y",4,2,7.3
"231",3,"MTH","F",14,"Y",4,2,7.5
"232",3,"Vida","F",14,"Y",4,2,7.3
"233",3,"MTH","H",14,"Y",4,2,NA
"234",3,"Vida","H",14,"Y",4,2,4.5
"235",3,"MTH","S",14,"Y",4,2,8
"236",3,"Vida","S",14,"Y",4,2,7
"237",3,"Hiline","C",12,"N",5,2,6.5
"238",3,"Hiline","D",12,"N",5,2,5.8
"239",3,"Hiline","F",12,"N",5,2,NA
"240",3,"Hiline","H",12,"N",5,2,5.7
"241",3,"Hiline","S",12,"N",5,2,NA
"242",3,"Vida","C",14,"N",5,2,8.1
"243",3,"MTH","D",14,"N",5,2,8
"244",3,"MTH","F",14,"N",5,2,9.3
"245",3,"Vida","F",14,"N",5,2,NA
"246",3,"MTH","H",14,"N",5,2,8.5
"247",3,"Vida","H",14,"N",5,2,9
"248",3,"MTH","S",14,"N",5,2,8.6
"249",3,"Vida","S",14,"N",5,2,7.9
"250",3,"Hiline","C",12,"Y",5,2,3.5
"251",3,"Hiline","F",12,"Y",5,2,5.2
"252",3,"Hiline","S",12,"Y",5,2,6.5
"253",3,"MTH","C",14,"Y",5,2,NA
"254",3,"Vida","C",14,"Y",5,2,NA
"255",3,"MTH","D",14,"Y",5,2,10.8
"256",3,"Vida","D",14,"Y",5,2,7.8
"257",3,"MTH","F",14,"Y",5,2,8.3
"258",3,"Vida","F",14,"Y",5,2,8
"259",3,"MTH","H",14,"Y",5,2,NA
"260",3,"Vida","H",14,"Y",5,2,3.5
"261",3,"MTH","S",14,"Y",5,2,NA
"262",3,"Vida","S",14,"Y",5,2,5.5
"263",3,"Hiline","C",12,"N",1,3,4.2
"264",3,"Hiline","D",12,"N",1,3,7.2
"265",3,"Hiline","F",12,"N",1,3,7
"266",3,"Hiline","H",12,"N",1,3,5.2
"267",3,"MTH","C",14,"N",1,3,7.8
"268",3,"Vida","C",14,"N",1,3,5.9
"269",3,"MTH","D",14,"N",1,3,8.8
"270",3,"Vida","D",14,"N",1,3,6.5
"271",3,"MTH","H",14,"N",1,3,8.7
"272",3,"Vida","H",14,"N",1,3,6.9
"273",3,"MTH","S",14,"N",1,3,9.2
"274",3,"Vida","S",14,"N",1,3,6.2
"275",3,"Hiline","C",12,"Y",1,3,5.8
"276",3,"Hiline","D",12,"Y",1,3,8
"277",3,"Hiline","F",12,"Y",1,3,7.4
"278",3,"Hiline","H",12,"Y",1,3,5.5
"279",3,"Hiline","S",12,"Y",1,3,4
"280",3,"MTH","C",14,"Y",1,3,4.4
